Unnamed: 0,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,IdLandkreis,MeldedatumISO,DatenstandISO,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlGenesen,IstErkrankungsbeginn,Altersgruppe2
1243,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-10,2020-03-21,,,,,,
1244,1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,1002,2020-03-11,2020-03-21,,,,,,
1245,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-13,2020-03-21,,,,,,
1246,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-14,2020-03-21,,,,,,
1247,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-16,2020-03-21,,,,,,
1248,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-18,2020-03-21,,,,,,
1249,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-20,2020-03-21,,,,,,
1250,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,1002,2020-03-10,2020-03-21,,,,,,
1251,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,1002,2020-03-12,2020-03-21,,,,,,
1252,1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,1002,2020-03-16,2020-03-21,,,,,,
1253,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,1002,2020-03-17,2020-03-21,,,,,,
1254,1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,1002,2020-03-18,2020-03-21,,,,,,
1255,1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,1002,2020-03-19,2020-03-21,,,,,,
1256,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,1002,2020-03-11,2020-03-21,,,,,,
1257,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,1002,2020-03-12,2020-03-21,,,,,,
1258,1,Schleswig-Holstein,SK Kiel,A35-A59,M,3,0,1002,2020-03-19,2020-03-21,,,,,,
1259,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,1002,2020-03-10,2020-03-21,,,,,,
1260,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,1002,2020-03-11,2020-03-21,,,,,,
1261,1,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,1002,2020-03-12,2020-03-21,,,,,,
1262,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,1002,2020-03-16,2020-03-21,,,,,,
1263,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,1002,2020-03-17,2020-03-21,,,,,,
1264,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,1002,2020-03-18,2020-03-21,,,,,,
1265,1,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,1002,2020-03-19,2020-03-21,,,,,,
1266,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,1002,2020-03-19,2020-03-21,,,,,,
1267,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,1002,2020-03-20,2020-03-21,,,,,,
1268,1,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,1002,2020-03-18,2020-03-21,,,,,,
8242,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-10,2020-03-22,,,,,,
8243,1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,1002,2020-03-11,2020-03-22,,,,,,
8244,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-13,2020-03-22,,,,,,
8245,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-14,2020-03-22,,,,,,
8246,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,1002,2020-03-16,2020-03-22,,,,,,
