Unnamed: 0,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,IdLandkreis,MeldedatumISO,DatenstandISO,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlGenesen,IstErkrankungsbeginn,Altersgruppe2
1290,1,Schleswig-Holstein,LK Dithmarschen,A15-A34,M,1,0,1051,2020-03-18,2020-03-21,,,,,,
1291,1,Schleswig-Holstein,LK Dithmarschen,A15-A34,W,1,0,1051,2020-03-05,2020-03-21,,,,,,
1292,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,M,1,0,1051,2020-03-15,2020-03-21,,,,,,
1293,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,2,0,1051,2020-03-15,2020-03-21,,,,,,
1294,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,1051,2020-03-18,2020-03-21,,,,,,
1295,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,1051,2020-03-15,2020-03-21,,,,,,
1296,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,1051,2020-03-18,2020-03-21,,,,,,
1297,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,1051,2020-03-19,2020-03-21,,,,,,
1298,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,1051,2020-03-15,2020-03-21,,,,,,
1299,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,1051,2020-03-18,2020-03-21,,,,,,
1300,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,1051,2020-03-20,2020-03-21,,,,,,
8297,1,Schleswig-Holstein,LK Dithmarschen,A15-A34,M,1,0,1051,2020-03-18,2020-03-22,,,,,,
8298,1,Schleswig-Holstein,LK Dithmarschen,A15-A34,W,1,0,1051,2020-03-05,2020-03-22,,,,,,
8299,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,M,1,0,1051,2020-03-15,2020-03-22,,,,,,
8300,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,2,0,1051,2020-03-15,2020-03-22,,,,,,
8301,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,1051,2020-03-18,2020-03-22,,,,,,
